Wall time,Step,Value
1751434236.5115144,11375,2.5365121473441832e-05
1751434271.0634568,11400,2.5275636289734393e-05
1751434305.7248302,11425,2.5186145649058744e-05
1751434340.3768187,11450,2.5096653189393692e-05
1751434374.9363256,11475,2.5007158910739236e-05
1751434409.582791,11500,2.4917666451074183e-05
1751434674.4931676,11525,2.482817399140913e-05
1751434709.0773816,11550,2.473868335073348e-05
1751434743.722032,11575,2.464919634803664e-05
1751434778.4958293,11600,2.4559712983318605e-05
1751434813.2992704,11625,2.447023507556878e-05
1751434847.931194,11650,2.4380766262765974e-05
1751434882.6593044,11675,2.4291302906931378e-05
1751434917.272687,11700,2.4201850465033203e-05
1751434951.8857155,11725,2.4112407118082047e-05
1751434986.5694032,11750,2.4022976504056714e-05
1751435021.3699408,11775,2.3933556803967804e-05
1751435056.0520225,11800,2.384415165579412e-05
1751435090.7451174,11825,2.3754761059535667e-05
1751435125.4751718,11850,2.3665386834181845e-05
1751435160.251544,11875,2.3576028979732655e-05
1751435194.8941247,11900,2.34866893151775e-05
1751435229.6155581,11925,2.3397369659505785e-05
1751435264.3557289,11950,2.3308070012717508e-05
1751435297.9532218,11975,2.3218792193802074e-05
1751435332.621238,12000,2.3129538021748886e-05
1751435597.8596408,12025,2.3040307496557944e-05
1751435632.477441,12050,2.2951100618229248e-05
1751435667.1564522,12075,2.2861921024741605e-05
1751435701.7994933,12100,2.277277053508442e-05
1751435736.435602,12125,2.2683645511278883e-05
1751435771.1678576,12150,2.2594551410293207e-05
1751435805.8827596,12175,2.2505490051116794e-05
1751435840.54577,12200,2.241645779577084e-05
1751435875.3214953,12225,2.232746010122355e-05
1751435909.9811141,12250,2.223849696747493e-05
1751435944.7433324,12275,2.2149568394524977e-05
1751435979.357251,12300,2.2060676201363094e-05
1751436014.146586,12325,2.1971822206978686e-05
1751436048.8717988,12350,2.1883006411371753e-05
1751436083.5771127,12375,2.1794230633531697e-05
1751436118.2593424,12400,2.1705496692447923e-05
1751436152.9880211,12425,2.161680458812043e-05
1751436187.6401362,12450,2.1528156139538623e-05
1751436222.3880107,12475,2.14395513467025e-05
1751436257.0817807,12500,2.135099384759087e-05
1751436523.1858926,12525,2.126248182321433e-05
1751436558.0441475,12550,2.117401709256228e-05
1751436592.7019992,12575,2.108560329361353e-05
1751436627.5392752,12600,2.0997238607378677e-05
1751436662.2823253,12625,2.090892485284712e-05
1751436697.0514977,12650,2.082066384900827e-05
1751436731.8311505,12675,2.073245559586212e-05
1751436766.6082413,12700,2.064430373138748e-05
1751436800.340744,12725,2.0556206436594948e-05
1751436835.0196598,12750,2.0468165530473925e-05
1751436869.7030518,12775,2.038018465100322e-05
1751436904.5363436,12800,2.0292261979193427e-05
1751436939.303258,12825,2.020439933403395e-05
1751436974.058865,12850,2.0116598534514196e-05
1751437008.7681658,12875,2.0028859580634162e-05
1751437043.881743,12900,1.994118429138325e-05
1751437079.199884,12925,1.985357448575087e-05
1751437114.462479,12950,1.9766030163737014e-05
1751437150.931141,12975,1.9678554963320494e-05
1751437187.6105635,13000,1.95911452465225e-05
1751437465.928377,13025,1.9503806470311247e-05
1751437502.6210318,13050,1.9416536815697327e-05
1751437539.2706368,13075,1.932933992065955e-05
1751437575.7864914,13100,1.9242215785197914e-05
1751437612.4952776,13125,1.915516440931242e-05
1751437649.0977356,13150,1.906818761199247e-05
1751437685.8444843,13175,1.8981289031216875e-05
1751437722.5348282,13200,1.8894465029006824e-05
1751437759.2486544,13225,1.880772106233053e-05
1751437795.728005,13250,1.8721055312198587e-05
1751437832.1830544,13275,1.86344695976004e-05
1751437868.700125,13300,1.8547967556514777e-05
1751437905.5103521,13325,1.8461547369952314e-05
1751437942.2816095,13350,1.837520903791301e-05
1751437978.7514281,13375,1.8288958017365076e-05
1751438015.3116,13400,1.820279248931911e-05
1751438052.0076919,13425,1.8116712453775108e-05
1751438088.7026646,13450,1.8030723367701285e-05
1751438124.1770139,13475,1.794482159311883e-05
1751438160.881775,13500,1.7859010768006556e-05
1751438438.3287497,13525,1.7773290892364457e-05
1751438474.6750197,13550,1.768766378518194e-05
1751438511.1143208,13575,1.7602131265448406e-05
1751438547.5770473,13600,1.7516693333163857e-05
1751438584.0484607,13625,1.7431349988328293e-05
1751438620.5519493,13650,1.734610486892052e-05
1751438657.1700306,13675,1.726095797494054e-05
1751438693.6188269,13700,1.717931081657298e-05
1751438730.0979638,13725,1.7094358554459177e-05
1751438766.5233026,13750,1.7009508155751973e-05
1751438802.9541733,13775,1.692475962045137e-05
1751438839.383539,13800,1.6840114767546766e-05
1751438875.8655498,13825,1.6755575416027568e-05
1751438912.3169372,13850,1.6671139746904373e-05
1751438948.773562,13875,1.658681321714539e-05
1751438985.3014774,13900,1.6502592188771814e-05
1751439021.7542055,13925,1.6418482118751854e-05
1751439058.3268547,13950,1.6334481188096106e-05
1751439095.0109694,13975,1.6250591215793975e-05
1751439131.677346,14000,1.616681220184546e-05
1751439410.4848735,14025,1.6083147784229368e-05
1751439446.993716,14050,1.59995979629457e-05
1751439483.4505172,14075,1.5916162737994455e-05
1751439519.9314005,14100,1.5832843928365037e-05
1751439556.4129574,14125,1.5749641534057446e-05
1751439593.28255,14150,1.566655919305049e-05
1751439630.1234457,14175,1.5583596905344166e-05
1751439667.0008116,14200,1.5500754670938477e-05
1751439702.3729842,14225,1.5418034308822826e-05
1751439738.8405426,14250,1.5335435818997212e-05
1751439775.3570712,14275,1.5252961929945741e-05
1751439811.892169,14300,1.5170612641668413e-05
1751439848.7029727,14325,1.508838886365993e-05
